platform,title,url,author,view,like,has_subtitle,relevance,depth,clarity,has_math,has_code,audience,recommend,reason,video_id,duration,publish_time,subtitle_language,subtitle_source
bilibili,用最直观的方式告诉你：什么是主成分分析PCA,http://www.bilibili.com/video/av459231629,交通数据小旭学长,663379,29634,False,10,6,7,False,False,本科入门,yes,高播放和点赞表明讲解直观有吸引力，适合PCA入门学习，但无字幕可能影响部分学习者体验。,BV1E5411E71z,1485,2021-02-13T13:33:04+08:00,,
bilibili,PCA 主成分分析，机器学习最后一个模型,http://www.bilibili.com/video/av116463759333434,谦行AIing,4798,175,False,10,6,5,True,False,本科入门,yes,视频时长较长，标题直接对应PCA主题，可能提供基础讲解，但缺乏字幕和内容信息，建议自行验证质量。,BV1YMoDBuEm2,1339,2026-04-30T19:00:00+08:00,,
bilibili,一二老师讲主成分分析,http://www.bilibili.com/video/av116672652384344,小侃数据,403,17,False,9,3,7,True,False,科普,yes,视频快速梳理PCA核心步骤，适合初学者建立直觉，但深度有限，缺乏推导和实现。,BV1pYV964Ei2,279,2026-06-01T11:12:13+08:00,,
bilibili,STATA|主成分分析法（PCA）操作方法全程演示（完整版时间较长，后一期是精简版）,http://www.bilibili.com/video/av829318023,蔚梓逸_,52999,768,False,6,3,5,False,False,本科入门,no,仅演示STATA软件操作，未解释PCA数学原理和概念，不适合作为PCA理论教学资源,BV1Wu4y117kK,1101,2023-08-04T17:06:42+08:00,,
bilibili,主成分分析图(PCA)解析-让主成分分析更加通俗易懂,http://www.bilibili.com/video/av519790295,想看雪的瓜,212715,2603,False,9,3,6,False,False,科普,yes,视频以通俗方式图解PCA，帮助建立直观理解，适合入门，但深度较浅，缺乏数学推导与代码演示。,BV1dg411x7G9,559,2023-01-06T18:09:42+08:00,,
bilibili,023 #ENVI-遥感影像分析-主成分分析,http://www.bilibili.com/video/av726060211,番茄酱味的土豆泥,15116,172,False,6,3,4,False,False,本科入门,no,视频仅展示ENVI软件操作，缺乏主成分分析的原理讲解，不适合作为教学资源。,BV1qS4y1a7tw,253,2022-04-27T00:34:10+08:00,,
bilibili,6-主成分分析法构建RSEI,http://www.bilibili.com/video/av112654895089190,做梦的咸鱼dream,5257,76,False,3,2,5,False,False,本科入门,no,该视频专注于使用PCA构建RSEI指数而非讲解PCA原理，不适合作为PCA主成分分析的教学材料。,BV1k6g9erEfa,337,2024-06-21T21:44:38+08:00,,
bilibili,图像增强—pca主成分变换,http://www.bilibili.com/video/av374149940,露天金鱼,5940,89,False,7,5,5,True,False,本科入门,no,视频仅涉及遥感图像处理中的PCA应用，缺乏一般性原理讲解，不适合作为通用PCA教学资源。,BV18o4y197PA,716,2021-02-14T16:30:29+08:00,,
bilibili,【小白学统计】spss主成分分析实战演练、主成分分析进行综合评价案例分析、主成分分析步骤,http://www.bilibili.com/video/av494731860,小白在学统计,10180,162,False,9,4,6,False,False,本科入门,yes,视频聚焦于SPSS中PCA的实战操作与综合评价案例，适合初学者快速上手应用，但缺乏数学推导与理论深度。,BV1wN411V743,922,2023-12-13T16:49:23+08:00,,
bilibili,拿捏了！origin绘制PCA图，主成分分析图详解。,http://www.bilibili.com/video/av1151790226,萤火虫科研,123740,1657,False,3,2,5,False,False,科普,no,此视频主要演示如何使用Origin软件绘制PCA图，而非讲解PCA原理，不适合作为PCA教学资源。,BV1pZ421h7JJ,435,2024-03-18T21:03:45+08:00,,
bilibili,利用ENVI进行主成分分析（PCA）,http://www.bilibili.com/video/av640964167,三千思丶,10060,94,False,2,0,4,False,False,科普,no,视频仅演示ENVI软件操作，未讲解PCA原理、推导或数学，不适合作为教学资源。,BV1PY4y18711,506,2022-04-21T20:03:29+08:00,,
